,Males,Females,Diff
E08000034,222600,214400,0.018764302
E07000171,59100,56900,0.018965517
E09000002,99300,95600,0.018984094
E09000024,105700,101700,0.019286403
E07000131,44800,43100,0.019340159
E08000031,131500,126500,0.019379845
E07000012,78300,75300,0.01953125
E06000043,143500,138000,0.019538188
E07000243,44300,42600,0.019562716
E07000180,63800,61300,0.019984013
E06000028,96600,92800,0.020063358
E06000041,81300,78100,0.020075282
E06000007,106500,102300,0.020114943
E06000037,81100,77900,0.020125786
E06000025,138300,132700,0.020664207
E07000084,88400,84800,0.020785219
E08000032,277400,266100,0.020791168
E06000020,88100,84500,0.020857474
E07000178,80000,76700,0.021059349
E06000035,139200,133400,0.021276596
E06000015,131700,126200,0.021326095
E07000226,56700,54300,0.021621622
E06000016,174700,167300,0.021637427
E06000034,83800,80200,0.02195122
E07000089,48300,46200,0.022222222
E07000130,87300,83500,0.022248244
E08000010,167400,160100,0.022290076
E07000214,45400,43400,0.022522523
E07000236,44600,42600,0.02293578
E06000036,60000,57300,0.023017903
E09000028,152800,145900,0.0231001
E07000222,72600,69300,0.023255814
E09000014,135300,129100,0.023449319
E06000031,97700,93200,0.023572551
E09000017,145400,138700,0.023583245
E07000193,60000,57200,0.023890785
E07000217,52600,50100,0.024342746
E09000026,148500,141400,0.024491204
E07000011,89500,85200,0.024613623
E07000029,37200,35400,0.024793388
E07000220,53000,50400,0.025145068
E08000026,168300,160000,0.025281754
E07000050,36300,34500,0.025423729
E07000103,48100,45700,0.025586354
W06000006,71600,68000,0.025787966
E07000197,69100,65600,0.025983667
E07000202,70800,67200,0.026086957
E06000023,227500,215900,0.026161479
E07000204,58700,55700,0.026223776
E06000042,132800,125900,0.026671821
E07000092,49800,47200,0.026804124
E07000151,41100,38900,0.0275
E08000006,124400,117700,0.027674515
E09000022,161000,152200,0.028097063
E08000021,148500,140300,0.028393352
E09000012,131400,124000,0.028974158
E06000021,132700,125200,0.029081039
E09000011,136300,128500,0.029456193
E07000118,56900,53600,0.029864253
E07000245,90800,85500,0.030062394
E06000030,111500,104900,0.030499076
E07000123,74700,70200,0.031055901
E06000010,136700,128400,0.03130894
E06000008,79100,74100,0.032637076
E09000009,181600,169700,0.033874182
E09000031,139000,129700,0.03461109
E06000038,84000,78300,0.035120148
E06000018,163600,152400,0.035443038
E06000017,19800,18400,0.036649215
E06000044,110000,102200,0.036757776
E07000201,32100,29800,0.037156704
